Experiment Name	Epoch	EpRet	TestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LogPi	LossPi	LossQ	std	Time
ant_eg_r1_a0_eps_010_0	1	73.933334	516.0	73.933334	516.0	9999	41.366646	41.366978	483.2914	-43.213543	29.907877	1.0851907	175.46721267700195
ant_eg_r1_a0_eps_010_0	2	76.229004	790.8	76.229004	790.8	19999	348.98682	348.99252	484.65524	-370.22058	1838.2415	0.9426846	372.32539224624634
ant_eg_r1_a0_eps_010_0	3	274.58334	2038.0	274.58334	2038.0	29999	1427.9714	1427.9869	181.44392	-1461.9215	16329.817	0.076040246	625.0253880023956
ant_eg_r1_a0_eps_010_0	4	376.68	771.8	376.68	771.8	39999	1784.8763	1784.8951	91.46128	-1810.3508	15604.992	0.0013631933	861.8554039001465
ant_eg_r1_a0_eps_010_0	5	495.42856	389.2	495.42856	389.2	49999	1994.6782	1994.6958	91.005646	-2016.9296	14191.477	0.00053765473	1102.1454660892487
ant_eg_r1_a0_eps_010_0	6	315.8125	701.4	315.8125	701.4	59999	2101.86	2101.8418	91.58105	-2121.0337	13926.29	0.00041216039	1347.3987593650818
ant_eg_r1_a0_eps_010_0	7	429.82608	3083.6	429.82608	3083.6	69999	2146.8416	2146.8164	89.53781	-2164.0178	13232.2	0.00045854645	1639.5853743553162
ant_eg_r1_a0_eps_010_0	8	1889.0	1027.0	1889.0	1027.0	79999	2190.4976	2190.4924	88.54696	-2206.4358	11159.533	0.00038290888	1899.3602571487427
ant_eg_r1_a0_eps_010_0	9	942.2727	1881.6	942.2727	1881.6	89999	2279.3013	2279.2947	90.05815	-2294.6643	9637.419	0.0003068919	2169.0516040325165
ant_eg_r1_a0_eps_010_0	10	1392.8572	2210.8	1392.8572	2210.8	99999	2367.9644	2367.9626	89.596725	-2382.2686	8678.084	0.00040118693	2448.73144197464
ant_eg_r1_a0_eps_010_0	11	1164.6666	2414.2	1164.6666	2414.2	109999	2443.926	2443.9294	85.13599	-2457.3376	7846.616	0.0006802049	2730.9133150577545
ant_eg_r1_a0_eps_010_0	12	1621.5	1543.8	1621.5	1543.8	119999	2507.7131	2507.7122	85.739174	-2520.4507	7848.1577	0.0005138878	2987.357279062271
ant_eg_r1_a0_eps_010_0	13	1755.0	654.6	1755.0	654.6	129999	2567.3032	2567.3044	89.612144	-2579.6177	7424.222	0.00038806588	3233.5285561084747
ant_eg_r1_a0_eps_010_0	14	815.4545	2081.0	815.4545	2081.0	139999	2618.6855	2618.6836	91.51047	-2630.8467	7985.6504	0.0003237792	3501.2415006160736
ant_eg_r1_a0_eps_010_0	15	1066.6666	464.0	1066.6666	464.0	149999	2671.744	2671.7466	87.59897	-2683.0005	7876.5825	0.00041872068	3741.3844389915466
ant_eg_r1_a0_eps_010_0	16	612.3125	1522.4	612.3125	1522.4	159999	2708.1584	2708.1553	87.71848	-2718.878	8406.214	0.00045874753	4005.1745653152466
ant_eg_r1_a0_eps_010_0	17	1344.7142	1690.4	1344.7142	1690.4	169999	2736.3508	2736.3374	90.05844	-2746.4548	8258.802	0.00035245804	4275.729050159454
ant_eg_r1_a0_eps_010_0	18	1833.3334	4150.4	1833.3334	4150.4	179999	2747.5974	2747.5972	86.89689	-2756.9062	7632.5767	0.0003993158	4587.24529671669
ant_eg_r1_a0_eps_010_0	19	2276.0	2567.2	2276.0	2567.2	189999	2751.2063	2751.204	86.45505	-2760.1929	7130.326	0.0004286554	4866.102326154709
ant_eg_r1_a0_eps_010_0	20	1304.2222	4976.0	1304.2222	4976.0	199999	2764.1077	2764.1042	89.05162	-2772.66	6594.382	0.00041074143	5191.811648368835
ant_eg_r1_a0_eps_010_0	21	772.8889	2864.0	772.8889	2864.0	209999	2771.0386	2771.0337	88.27978	-2779.3499	6428.3877	0.00045503964	5475.5696849823
ant_eg_r1_a0_eps_010_0	22	2041.2	1532.4	2041.2	1532.4	219999	2764.4941	2764.4956	88.11075	-2772.404	6130.3574	0.0004703862	5737.05185174942
ant_eg_r1_a0_eps_010_0	23	2564.8	1103.8	2564.8	1103.8	229999	2766.4683	2766.4626	89.27861	-2774.042	5636.317	0.00038396104	5987.6145441532135
ant_eg_r1_a0_eps_010_0	24	2037.75	2035.0	2037.75	2035.0	239999	2768.1357	2768.136	92.52728	-2775.3315	5369.388	0.00031472358	6256.362203836441
ant_eg_r1_a0_eps_010_0	25	2109.2	3549.6	2109.2	3549.6	249999	2779.45	2779.449	92.89409	-2786.7874	5064.9966	0.00030599002	6553.539079904556
ant_eg_r1_a0_eps_010_0	26	1817.3334	2325.6	1817.3334	2325.6	259999	2803.0845	2803.086	97.43501	-2810.25	5081.0503	0.00024536854	6827.326980352402
ant_eg_r1_a0_eps_010_0	27	1148.2858	2463.4	1148.2858	2463.4	269999	2812.7683	2812.767	97.9528	-2819.6917	5019.0986	0.0002529101	7103.456124782562
ant_eg_r1_a0_eps_010_0	28	3743.6667	3098.8	3743.6667	3098.8	279999	2818.4883	2818.4875	102.6843	-2825.3545	5063.328	0.00020411928	7391.073593616486
ant_eg_r1_a0_eps_010_0	29	4698.5	1035.8	4698.5	1035.8	289999	2831.47	2831.4695	110.02965	-2838.4065	4607.8135	0.00015071666	7637.950701951981
ant_eg_r1_a0_eps_010_0	30	3774.0	3593.2	3774.0	3593.2	299999	2837.5488	2837.5483	109.985794	-2844.2239	4596.5244	0.00016613158	7935.75132060051
ant_eg_r1_a0_eps_010_0	31	2747.3333	1187.0	2747.3333	1187.0	309999	2844.1487	2844.146	112.60373	-2850.5913	4172.5093	0.00016667838	8191.224994659424
ant_eg_r1_a0_eps_010_0	32	2088.3333	1365.4	2088.3333	1365.4	319999	2845.9883	2845.9883	113.1491	-2851.9128	3874.1687	0.00018512848	8443.806643724442
ant_eg_r1_a0_eps_010_0	33	1692.6	4077.2	1692.6	4077.2	329999	2834.7107	2834.7104	113.82046	-2840.3145	4011.736	0.00017329697	8750.812783956528
ant_eg_r1_a0_eps_010_0	34	1436.4286	2535.2	1436.4286	2535.2	339999	2808.931	2808.931	112.72333	-2814.1226	4054.3313	0.00019065391	9026.240013599396
ant_eg_r1_a0_eps_010_0	35	3637.0	4575.6	3637.0	4575.6	349999	2779.3516	2779.3513	112.157265	-2784.3186	4094.618	0.00018847776	9341.855776786804
ant_eg_r1_a0_eps_010_0	36	1946.4	911.6	1946.4	911.6	359999	2749.795	2749.793	112.73545	-2754.2236	3770.6772	0.00020497436	9587.968395471573
ant_eg_r1_a0_eps_010_0	37	3010.3333	1988.6	3010.3333	1988.6	369999	2713.5227	2713.5242	115.752045	-2717.8203	3653.2888	0.00016987356	9856.881506443024
ant_eg_r1_a0_eps_010_0	38	1963.25	2428.4	1963.25	2428.4	379999	2674.0994	2674.0945	112.903786	-2678.2273	3503.4795	0.00018368046	10132.78593158722
ant_eg_r1_a0_eps_010_0	39	2151.6	3465.8	2151.6	3465.8	389999	2637.235	2637.2341	118.12672	-2641.3315	3506.614	0.0001590543	10428.073875665665
ant_eg_r1_a0_eps_010_0	40	2496.0	1804.6	2496.0	1804.6	399999	2607.7334	2607.73	124.4963	-2611.6028	3214.0295	0.00011791446	10690.685317516327
ant_eg_r1_a0_eps_010_0	41	3903.0	4435.0	3903.0	4435.0	409999	2582.041	2582.045	126.05024	-2585.7603	3082.0745	0.00012356987	11002.854141235352
ant_eg_r1_a0_eps_010_0	42	1939.6666	2678.8	1939.6666	2678.8	419999	2554.8093	2554.8083	128.92575	-2558.4307	2932.2542	9.773817e-05	11284.678738117218
ant_eg_r1_a0_eps_010_0	43	2432.6667	1301.0	2432.6667	1301.0	429999	2529.422	2529.4238	127.86631	-2532.9473	2809.5256	0.00011490573	11538.448840856552
ant_eg_r1_a0_eps_010_0	44	5000.0	3623.0	5000.0	3623.0	439999	2504.3877	2504.3828	124.332405	-2507.9104	2708.435	0.00012263257	11833.534588813782
ant_eg_r1_a0_eps_010_0	45	2680.0	3649.0	2680.0	3649.0	449999	2484.915	2484.9138	125.81137	-2487.9966	2518.8743	0.00013202622	12133.015497207642
ant_eg_r1_a0_eps_010_0	46	2399.2	3317.8	2399.2	3317.8	459999	2451.6008	2451.6006	126.957794	-2454.5742	2478.3604	0.00012587904	12421.827023267746
ant_eg_r1_a0_eps_010_0	47	4082.0	1295.0	4082.0	1295.0	469999	2419.3066	2419.3052	124.649055	-2422.0295	2321.3376	0.00014218199	12664.059505224228
ant_eg_r1_a0_eps_010_0	48	2963.6667	2328.4	2963.6667	2328.4	479999	2386.5408	2386.5415	120.394485	-2389.37	2389.524	0.00016043239	12931.884232759476
ant_eg_r1_a0_eps_010_0	49	2664.6	5000.0	2664.6	5000.0	489999	2361.6777	2361.6772	123.63304	-2364.5554	2257.8523	0.00013531487	13244.268251657486
ant_eg_r1_a0_eps_010_0	50	3828.0	4107.8	3828.0	4107.8	499999	2334.1174	2334.1174	127.30376	-2336.6963	2118.9746	0.00011514485	13540.602993011475
ant_eg_r1_a0_eps_010_0	51	3306.25	2228.6	3306.25	2228.6	509999	2309.2761	2309.2776	132.71039	-2311.8965	2081.9734	9.585968e-05	13804.083243608475
ant_eg_r1_a0_eps_010_0	52	2365.0	5000.0	2365.0	5000.0	519999	2290.3342	2290.334	136.30602	-2293.0276	2002.9368	9.376221e-05	14112.18983244896
ant_eg_r1_a0_eps_010_0	53	5000.0	2222.6	5000.0	2222.6	529999	2276.3328	2276.335	132.3784	-2278.9402	1920.6412	9.266414e-05	14376.995496034622
ant_eg_r1_a0_eps_010_0	54	3249.0	2858.6	3249.0	2858.6	539999	2250.934	2250.9336	132.74628	-2253.2144	1777.6584	9.406875e-05	14647.771017074585
ant_eg_r1_a0_eps_010_0	55	2662.5	1633.6	2662.5	1633.6	549999	2225.294	2225.293	127.63523	-2227.5872	1844.2343	0.0001268332	14901.621096849442
ant_eg_r1_a0_eps_010_0	56	3518.5	4609.2	3518.5	4609.2	559999	2204.696	2204.6953	134.41696	-2206.977	1684.0298	9.096714e-05	15205.95352768898
ant_eg_r1_a0_eps_010_0	57	2526.8	2619.6	2526.8	2619.6	569999	2182.433	2182.433	127.4836	-2184.5588	1660.2921	0.00012401331	15474.575953960419
ant_eg_r1_a0_eps_010_0	58	3305.0	3557.6	3305.0	3557.6	579999	2161.053	2161.0518	123.649475	-2163.1868	1617.4696	0.0001406288	15757.810292959213
ant_eg_r1_a0_eps_010_0	59	1402.2	3515.2	1402.2	3515.2	589999	2142.3643	2142.366	123.32962	-2144.4595	1652.2653	0.00015104027	16042.965992450714
ant_eg_r1_a0_eps_010_0	60	3340.6667	4565.2	3340.6667	4565.2	599999	2122.1155	2122.1155	119.426834	-2124.164	1629.7148	0.00017886005	16347.534297466278
ant_eg_r1_a0_eps_010_0	61	2589.2	4199.2	2589.2	4199.2	609999	2103.203	2103.2024	122.68357	-2105.1409	1536.2158	0.0001566531	16646.374576091766
ant_eg_r1_a0_eps_010_0	62	2005.5	3315.2	2005.5	3315.2	619999	2086.2695	2086.268	128.0534	-2088.3064	1546.0466	0.00013217909	16926.010305166245
ant_eg_r1_a0_eps_010_0	63	4049.0	4778.8	4049.0	4778.8	629999	2073.4832	2073.4834	127.26534	-2075.5125	1520.8065	0.000119748154	17234.984592437744
ant_eg_r1_a0_eps_010_0	64	2359.0	3881.2	2359.0	3881.2	639999	2065.525	2065.5242	130.69392	-2067.6958	1499.813	9.33746e-05	17527.300864458084
ant_eg_r1_a0_eps_010_0	65	5000.0	3156.2	5000.0	3156.2	649999	2055.318	2055.3171	135.68004	-2057.4414	1485.88	6.7328736e-05	17806.414021492004
ant_eg_r1_a0_eps_010_0	66	2561.0	3358.8	2561.0	3358.8	659999	2047.8549	2047.8567	138.21597	-2049.7292	1375.5459	7.217679e-05	18087.30364704132
ant_eg_r1_a0_eps_010_0	67	3389.6667	3285.4	3389.6667	3285.4	669999	2036.3396	2036.3363	132.42802	-2038.1354	1377.945	9.554036e-05	18365.87181043625
ant_eg_r1_a0_eps_010_0	68	3434.0	4589.4	3434.0	4589.4	679999	2022.0587	2022.0583	133.31715	-2023.8812	1327.3241	9.3837145e-05	18669.61551260948
ant_eg_r1_a0_eps_010_0	69	4926.0	4673.6	4926.0	4673.6	689999	2007.9291	2007.9288	130.28004	-2009.7502	1371.524	0.000100866615	18976.011923789978
ant_eg_r1_a0_eps_010_0	70	4818.5	4396.2	4818.5	4396.2	699999	1998.4067	1998.4069	146.04512	-2000.3234	1227.1052	5.889411e-05	19277.929540872574
ant_eg_r1_a0_eps_010_0	71	3796.0	2679.6	3796.0	2679.6	709999	1991.1016	1991.1013	139.74403	-1992.9076	1232.8531	8.007865e-05	19546.586857318878
ant_eg_r1_a0_eps_010_0	72	3616.6667	4959.4	3616.6667	4959.4	719999	1979.101	1979.1025	129.23737	-1980.7983	1280.2789	0.00011105734	19857.961846113205
ant_eg_r1_a0_eps_010_0	73	2607.5	3751.8	2607.5	3751.8	729999	1965.5598	1965.5575	131.91055	-1967.0358	1218.3218	0.00011498071	20147.916404247284
ant_eg_r1_a0_eps_010_0	74	3863.0	2204.4	3863.0	2204.4	739999	1952.1232	1952.1232	141.84612	-1953.6786	1124.862	7.9519894e-05	20414.251343011856
ant_eg_r1_a0_eps_010_0	75	3281.5	3701.4	3281.5	3701.4	749999	1936.4121	1936.4111	134.7515	-1937.712	1146.9297	0.00010235574	20703.88091158867
ant_eg_r1_a0_eps_010_0	76	2719.5	3976.8	2719.5	3976.8	759999	1920.0587	1920.0586	136.23656	-1921.648	1111.1073	8.9647736e-05	20996.588063955307
ant_eg_r1_a0_eps_010_0	77	5000.0	2444.2	5000.0	2444.2	769999	1908.0815	1908.0802	142.14027	-1909.5824	1068.9316	7.005162e-05	21260.579533576965
ant_eg_r1_a0_eps_010_0	78	2700.5	4474.0	2700.5	4474.0	779999	1897.2374	1897.2383	137.61845	-1898.6544	1070.0143	8.581069e-05	21561.532026052475
ant_eg_r1_a0_eps_010_0	79	3041.5	3655.8	3041.5	3655.8	789999	1886.1732	1886.1716	141.53308	-1887.5984	1065.278	7.580833e-05	21847.795526742935
ant_eg_r1_a0_eps_010_0	80	5000.0	2743.6	5000.0	2743.6	799999	1873.9156	1873.9159	135.04039	-1875.2638	1016.0886	8.812118e-05	22119.228226661682
ant_eg_r1_a0_eps_010_0	81	5000.0	4242.2	5000.0	4242.2	809999	1858.0557	1858.0554	139.47905	-1859.3466	970.7624	7.977227e-05	22415.668565750122
ant_eg_r1_a0_eps_010_0	82	5000.0	3278.6	5000.0	3278.6	819999	1844.6965	1844.6952	149.32689	-1845.9417	902.7466	5.9437145e-05	22700.601998806
ant_eg_r1_a0_eps_010_0	83	2717.0	3340.0	2717.0	3340.0	829999	1833.0515	1833.0505	149.22893	-1834.2404	921.4289	5.5928027e-05	22983.52758216858
ant_eg_r1_a0_eps_010_0	84	4357.6665	2707.0	4357.6665	2707.0	839999	1818.2299	1818.229	138.35106	-1819.3208	907.314	7.3948526e-05	23253.89426279068
ant_eg_r1_a0_eps_010_0	85	2431.3333	4860.4	2431.3333	4860.4	849999	1806.6766	1806.677	136.7007	-1807.7606	890.453	6.919483e-05	23564.00839948654
ant_eg_r1_a0_eps_010_0	86	5000.0	3428.4	5000.0	3428.4	859999	1793.3546	1793.3529	139.60237	-1794.4207	851.8994	6.40065e-05	23846.324139118195
ant_eg_r1_a0_eps_010_0	87	3967.6667	1946.0	3967.6667	1946.0	869999	1783.8723	1783.8713	134.4322	-1785.0096	850.6676	8.570078e-05	24104.14698243141
ant_eg_r1_a0_eps_010_0	88	3862.0	3876.0	3862.0	3876.0	879999	1769.3243	1769.3248	130.389	-1770.2854	842.1735	0.00012070861	24392.31147646904
ant_eg_r1_a0_eps_010_0	89	2628.0	4243.2	2628.0	4243.2	889999	1755.4795	1755.4788	133.28502	-1756.3748	785.2358	0.0001209438	24690.2610039711
ant_eg_r1_a0_eps_010_0	90	4253.0	5000.0	4253.0	5000.0	899999	1742.0199	1742.019	134.40819	-1742.9702	749.322	0.000106414154	25000.59023499489
ant_eg_r1_a0_eps_010_0	91	5000.0	3803.0	5000.0	3803.0	909999	1726.7273	1726.7264	135.07918	-1727.6492	728.3704	0.00010930672	25289.43020439148
ant_eg_r1_a0_eps_010_0	92	5000.0	3412.2	5000.0	3412.2	919999	1720.5322	1720.5326	132.03923	-1721.555	756.1143	0.00012494731	25570.539916992188
ant_eg_r1_a0_eps_010_0	93	3209.5	5000.0	3209.5	5000.0	929999	1710.7416	1710.7416	126.53727	-1711.6876	739.7604	0.00012494062	25879.025122642517
ant_eg_r1_a0_eps_010_0	94	5000.0	3492.2	5000.0	3492.2	939999	1704.1052	1704.103	132.6944	-1705.1106	733.5458	9.5285766e-05	26163.802952528
ant_eg_r1_a0_eps_010_0	95	4977.5	4044.2	4977.5	4044.2	949999	1700.1696	1700.1696	136.16298	-1701.1392	738.4566	8.423431e-05	26456.336255550385
ant_eg_r1_a0_eps_010_0	96	3597.3333	3095.2	3597.3333	3095.2	959999	1694.6295	1694.6283	135.03716	-1695.4902	704.5489	8.043345e-05	26735.14363002777
