Experiment Name	Epoch	EpRet	TestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LogPi	LossPi	LossQ	std	Time
ant_mop_r0_a1_1	1	0.0	0.0	82.19009	3012.0	9999	101.31338	101.32044	-3.8431864	-107.35839	113.787094	0.8864589	220.78008770942688
ant_mop_r0_a1_1	2	0.0	0.0	81.61789	4024.6	19999	323.8984	323.90027	-0.4702816	-334.46838	814.4447	0.823903	482.67082929611206
ant_mop_r0_a1_1	3	0.0	0.0	148.78688	5000.0	29999	521.51495	521.5139	-0.32999527	-529.98627	1764.2635	0.73081833	809.1055948734283
ant_mop_r0_a1_1	4	0.0	0.0	486.72726	5000.0	39999	504.18195	504.17996	-1.7101089	-509.7194	1203.9059	0.63315696	1147.5218858718872
ant_mop_r0_a1_1	5	0.0	0.0	598.94116	5000.0	49999	501.61243	501.60544	-2.154338	-506.5541	991.7377	0.62423587	1490.1424758434296
ant_mop_r0_a1_1	6	0.0	0.0	501.88235	5000.0	59999	507.00525	507.00293	-2.288471	-511.6748	930.4727	0.63708794	1839.758574962616
ant_mop_r0_a1_1	7	0.0	0.0	732.4667	5000.0	69999	520.9337	520.92883	-2.2693121	-525.4515	893.608	0.6453624	2184.1660916805267
ant_mop_r0_a1_1	8	0.0	0.0	783.61536	5000.0	79999	552.6355	552.6367	-2.3107536	-557.10645	902.7968	0.6520207	2530.215192556381
ant_mop_r0_a1_1	9	0.0	0.0	793.7778	5000.0	89999	591.7331	591.7355	-2.3141735	-596.0884	939.6735	0.6530401	2872.9133093357086
ant_mop_r0_a1_1	10	0.0	0.0	868.06665	5000.0	99999	628.5087	628.5119	-2.2804437	-632.82294	938.184	0.6595656	3210.4673171043396
ant_mop_r0_a1_1	11	0.0	0.0	988.7	5000.0	109999	668.1039	668.10706	-2.2143285	-672.40643	949.5266	0.6619957	3543.030421972275
ant_mop_r0_a1_1	12	0.0	0.0	1163.0	5000.0	119999	707.4675	707.4727	-2.266429	-711.6366	951.357	0.66476613	3880.6808054447174
ant_mop_r0_a1_1	13	0.0	0.0	1658.5	5000.0	129999	744.726	744.7292	-2.3034794	-748.7872	918.9926	0.6684597	4233.934010267258
ant_mop_r0_a1_1	14	0.0	0.0	3702.0	5000.0	139999	781.6968	781.70184	-2.3707478	-785.69977	924.7073	0.6681317	4573.238155841827
ant_mop_r0_a1_1	15	0.0	0.0	2316.25	5000.0	149999	821.5805	821.58325	-2.543639	-825.5465	847.0286	0.6751316	4913.04410982132
ant_mop_r0_a1_1	16	0.0	0.0	2020.5	5000.0	159999	863.117	863.12195	-2.6266844	-867.131	839.4446	0.6789381	5254.0630424022675
ant_mop_r0_a1_1	17	0.0	0.0	2262.6	5000.0	169999	904.4471	904.4515	-2.7282197	-908.4326	830.8803	0.680881	5592.550091981888
ant_mop_r0_a1_1	18	0.0	0.0	1873.5	5000.0	179999	940.9915	940.9933	-2.8275888	-944.9023	860.5709	0.68330276	5932.291829824448
ant_mop_r0_a1_1	19	0.0	0.0	982.1429	5000.0	189999	975.6717	975.67377	-2.8172946	-979.5308	943.1201	0.67985237	6271.8490035533905
ant_mop_r0_a1_1	20	0.0	0.0	1815.4286	5000.0	199999	1009.91296	1009.91724	-2.8277693	-1013.7646	963.732	0.6783456	6610.017880439758
ant_mop_r0_a1_1	21	0.0	0.0	5000.0	5000.0	209999	1044.5077	1044.511	-2.8274963	-1048.3662	1027.9712	0.67506355	6951.061359643936
ant_mop_r0_a1_1	22	0.0	0.0	2877.3333	5000.0	219999	1079.9622	1079.9644	-2.8673775	-1083.8348	986.9389	0.68079174	7289.835477113724
ant_mop_r0_a1_1	23	0.0	0.0	2367.0	5000.0	229999	1116.3552	1116.3584	-2.895203	-1120.2372	1018.447	0.68263566	7625.076087236404
ant_mop_r0_a1_1	24	0.0	0.0	2493.3333	5000.0	239999	1151.5288	1151.5306	-2.8807962	-1155.3934	1023.4553	0.68125415	7964.241128921509
ant_mop_r0_a1_1	25	0.0	0.0	2993.75	5000.0	249999	1185.7712	1185.7749	-2.943915	-1189.5883	1057.7856	0.68173623	8307.727579116821
ant_mop_r0_a1_1	26	0.0	0.0	1489.1428	5000.0	259999	1220.2301	1220.231	-2.934412	-1224.1033	1060.2299	0.68105215	8644.302354335785
ant_mop_r0_a1_1	27	0.0	0.0	5000.0	5000.0	269999	1254.1967	1254.2004	-2.8619	-1258.0298	1109.9943	0.67480755	8975.835584163666
ant_mop_r0_a1_1	28	0.0	0.0	3154.6667	5000.0	279999	1285.9944	1285.9966	-2.8840928	-1289.927	1130.7701	0.67786336	9311.189967870712
ant_mop_r0_a1_1	29	0.0	0.0	5000.0	5000.0	289999	1320.1652	1320.1681	-2.869084	-1324.0664	1142.6704	0.6820926	9652.154864549637
ant_mop_r0_a1_1	30	0.0	0.0	3204.6667	5000.0	299999	1355.2374	1355.2382	-2.891847	-1359.1399	1100.2701	0.68289405	9992.014063596725
ant_mop_r0_a1_1	31	0.0	0.0	5000.0	5000.0	309999	1388.3661	1388.3684	-2.8998632	-1392.1942	1138.3143	0.681516	10331.115091562271
ant_mop_r0_a1_1	32	0.0	0.0	3758.5	5000.0	319999	1417.0148	1417.0167	-2.8658528	-1420.9066	1199.7026	0.6784207	10669.439517259598
ant_mop_r0_a1_1	33	0.0	0.0	3380.5	5000.0	329999	1447.6652	1447.6652	-2.7753239	-1451.6	1189.3978	0.68173355	11006.289921998978
ant_mop_r0_a1_1	34	0.0	0.0	3617.5	5000.0	339999	1478.407	1478.4082	-2.819532	-1482.2898	1198.4193	0.67836374	11346.097965717316
ant_mop_r0_a1_1	35	0.0	0.0	2499.8	5000.0	349999	1504.9138	1504.9144	-2.8976207	-1508.729	1198.5276	0.6793629	11687.384006738663
