Experiment Name	Epoch	EpRet	TestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LogPi	LossPi	LossQ	std	Time
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	1	74.29851	117.4	74.29851	117.4	9999	23.711052	23.71017	561.9215	-24.32497	12.033315	1.2712655	174.31343579292297
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	2	79.04724	146.0	79.04724	146.0	19999	104.07701	104.07293	406.92368	-106.75165	136.1822	1.8283408	370.04472374916077
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	3	109.14286	155.8	109.14286	155.8	29999	189.95694	189.95663	281.49167	-192.24257	384.41663	1.5231234	603.6594359874725
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	4	164.36066	106.8	164.36066	106.8	39999	201.43477	201.43259	191.81845	-202.9982	321.19876	0.811566	841.4437651634216
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	5	167.71187	186.2	167.71187	186.2	49999	187.329	187.32861	105.21384	-188.6656	214.91707	0.0035449895	1083.9599595069885
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	6	160.04762	204.6	160.04762	204.6	59999	167.4923	167.49112	106.52262	-168.4019	161.3594	0.0015961641	1328.3754661083221
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	7	163.01639	152.6	163.01639	152.6	69999	144.9252	144.92244	111.21934	-145.6395	124.828514	0.0011538429	1573.534027338028
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	8	148.35822	157.6	148.35822	157.6	79999	133.71603	133.71515	115.294754	-134.32297	134.67725	0.0007590795	1818.8993413448334
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	9	122.07229	156.6	122.07229	156.6	89999	133.00896	133.00941	123.024086	-133.71541	148.89308	0.00037763693	2064.3656442165375
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	10	155.8125	170.0	155.8125	170.0	99999	140.94566	140.94032	126.99304	-141.65475	199.3326	0.0005207015	2310.1786839962006
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	11	152.72728	189.6	152.72728	189.6	109999	150.20354	150.19867	127.0769	-150.99596	250.61258	0.00033572034	2556.523645401001
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	12	129.05263	198.0	129.05263	198.0	119999	165.11227	165.11012	126.28035	-165.91765	349.48434	0.00043528143	2803.08389377594
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	13	179.30357	380.8	179.30357	380.8	129999	179.71165	179.71005	111.91522	-180.655	399.11166	0.0015725635	3053.4709861278534
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	14	196.11765	255.8	196.11765	255.8	139999	198.69577	198.69255	120.84686	-199.8511	453.5584	0.00065253564	3308.2886130809784
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	15	165.88333	241.8	165.88333	241.8	149999	220.76318	220.76488	124.90562	-222.08945	533.3696	0.00042093586	3565.568837404251
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	16	231.47728	72.2	231.47728	72.2	159999	241.50986	241.5102	127.67062	-242.972	669.2939	0.00035240228	3818.7193779945374
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	17	210.36171	116.2	210.36171	116.2	169999	266.10782	266.10895	134.96219	-267.85855	792.9568	0.00018892385	4074.471140384674
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	18	168.29825	114.6	168.29825	114.6	179999	293.94272	293.9451	143.12529	-295.95312	994.5242	0.00013827223	4332.834230184555
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	19	287.2857	296.6	287.2857	296.6	189999	321.9859	321.9859	144.04231	-324.14285	1222.836	0.00011466662	4593.017635583878
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	20	336.41934	199.0	336.41934	199.0	199999	350.2341	350.236	148.66315	-352.57578	1381.0752	7.468485e-05	4848.873436927795
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	21	304.0606	411.6	304.0606	411.6	209999	383.72552	383.72424	153.62106	-386.4108	1619.0526	7.954477e-05	5101.126135349274
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	22	395.68	329.6	395.68	329.6	219999	432.3655	432.36557	152.68018	-435.5068	1991.1116	0.000106782034	5351.914706707001
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	23	438.04544	790.6	438.04544	790.6	229999	490.0145	490.0157	155.75626	-493.5632	2449.0356	8.016875e-05	5616.2215275764465
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	24	286.46667	224.4	286.46667	224.4	239999	540.3355	540.342	160.3378	-544.1461	2844.8435	0.00012634511	5867.778739452362
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	25	786.4	962.8	786.4	962.8	249999	599.48004	599.48083	160.91457	-603.6891	3526.1724	0.00020971124	6136.572272062302
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	26	421.31818	710.2	421.31818	710.2	259999	661.15393	661.1602	161.59343	-665.7684	4089.0847	0.00013858142	6406.085560798645
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	27	716.6	825.8	716.6	825.8	269999	727.4678	727.47095	163.19975	-732.3173	4550.7246	8.818656e-05	6675.182139873505
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	28	611.6875	377.0	611.6875	377.0	279999	790.1538	790.16016	169.98466	-795.67694	5203.086	3.4922712e-05	6933.928421258926
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	29	430.6111	925.8	430.6111	925.8	289999	856.6522	856.65826	167.16916	-862.5841	5817.7446	5.9984213e-05	7204.825090646744
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	30	1517.875	368.0	1517.875	368.0	299999	924.1259	924.1284	165.74916	-930.3711	6221.4746	0.000102603124	7461.116760730743
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	31	709.75	1041.8	709.75	1041.8	309999	978.62756	978.6297	168.58182	-985.2794	6588.251	8.8769615e-05	7729.821269273758
en_ran_init_ant_1f_a2_200_25_400_eg_r1_a0_eps_005_1	32	887.3077	574.6	887.3077	574.6	319999	1041.7979	1041.8042	171.4496	-1048.754	7031.678	4.3115866e-05	7988.6358251571655
