Experiment Name	Epoch	EpRet	TestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LogPi	LossPi	LossQ	std	Time
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	1	0.0	0.0	84.39831	189.2	9999	91.62976	91.62985	-4.3336096	-97.395294	175.82622	0.8556066	175.6529152393341
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	2	0.0	0.0	81.55285	57.4	19999	373.6338	373.63474	-0.26160732	-385.6894	1899.8112	0.7629581	369.75023889541626
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	3	0.0	0.0	108.75824	200.0	29999	681.6543	681.66	0.17659463	-691.2033	5693.6694	0.7131482	606.1540651321411
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	4	0.0	0.0	168.67796	200.0	39999	670.97205	670.9744	-0.7133783	-676.5662	4767.689	0.6716487	847.8249263763428
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	5	0.0	0.0	169.08333	200.0	49999	567.7704	567.78296	-1.4546005	-572.872	3054.5188	0.66696864	1093.2137355804443
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	6	0.0	0.0	159.96774	200.0	59999	457.6086	457.6111	-2.2816002	-462.465	2008.0034	0.6864245	1339.6553292274475
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	7	0.0	0.0	162.53226	200.0	69999	330.27246	330.2695	-3.2287292	-334.2965	1019.7635	0.7215461	1587.4724946022034
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	8	0.0	0.0	134.55405	200.0	79999	246.2315	246.23068	-3.977464	-249.73668	505.24536	0.7576759	1836.051565170288
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	9	0.0	0.0	159.22223	200.0	89999	256.81326	256.81052	-3.959042	-260.30362	530.69183	0.7385965	2084.9809465408325
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	10	0.0	0.0	161.54099	200.0	99999	283.0973	283.09558	-3.84439	-286.6846	569.5089	0.72790176	2333.7860045433044
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	11	0.0	0.0	183.54546	200.0	109999	301.81055	301.80975	-3.7830863	-305.59027	601.60077	0.7225563	2582.075881958008
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	12	0.0	0.0	181.74545	200.0	119999	316.63522	316.632	-3.859596	-320.52295	568.4534	0.7242992	2831.215207338333
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	13	0.0	0.0	189.09435	200.0	129999	328.29016	328.2888	-3.9042666	-332.21667	551.11884	0.72756493	3080.1489589214325
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	14	0.0	0.0	189.07547	200.0	139999	337.6967	337.6925	-3.9554849	-341.7011	524.79114	0.73054427	3336.757624387741
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	15	0.0	0.0	189.35849	200.0	149999	345.73788	345.73575	-4.011131	-349.71713	495.5499	0.7335316	3595.399221420288
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	16	0.0	0.0	184.2037	200.0	159999	354.14755	354.14587	-4.0474267	-358.14163	473.87674	0.7365443	3853.73068857193
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	17	0.0	0.0	195.0196	200.0	169999	359.34076	359.33722	-4.102881	-363.3475	450.9654	0.7387995	4114.873391866684
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	18	0.0	0.0	179.125	200.0	179999	363.90976	363.9072	-4.111999	-367.96024	442.05475	0.7381963	4376.645840644836
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	19	0.0	0.0	178.73215	200.0	189999	365.44113	365.43875	-4.131143	-369.4048	437.89264	0.73831993	4636.6731605529785
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	20	0.0	0.0	175.05263	200.0	199999	363.86963	363.86737	-4.114585	-367.8345	438.54526	0.7353139	4893.982228517532
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	21	0.0	0.0	189.56604	200.0	209999	364.86374	364.86154	-4.145714	-368.8086	429.4037	0.73501116	5142.572429895401
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	22	0.0	0.0	194.66667	200.0	219999	364.3801	364.37918	-4.1718946	-368.3296	416.6265	0.7341246	5393.684161186218
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	23	0.0	0.0	194.53847	200.0	229999	365.10278	365.1019	-4.221284	-369.06064	393.38354	0.739792	5647.191800832748
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	24	0.0	0.0	209.17021	200.0	239999	367.22488	367.2237	-4.266637	-371.16675	369.0218	0.7416377	5899.593492269516
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	25	0.0	0.0	194.0	200.0	249999	368.6374	368.63492	-4.2706127	-372.55136	365.5244	0.73978573	6154.900011301041
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	26	0.0	0.0	195.62746	200.0	259999	367.48868	367.48785	-4.284696	-371.3891	350.0104	0.7405882	6415.268007040024
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	27	0.0	0.0	198.5	200.0	269999	366.93747	366.93585	-4.2857614	-370.85495	355.0174	0.7385525	6673.019903898239
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	28	0.0	0.0	194.90384	200.0	279999	366.27826	366.2778	-4.3075457	-370.1594	346.57123	0.73827296	6929.666717767715
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	29	0.0	0.0	190.1923	200.0	289999	365.96957	365.9688	-4.31425	-369.8936	345.86746	0.73712474	7186.99785900116
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	30	0.0	0.0	193.0577	200.0	299999	366.82413	366.82336	-4.3107886	-370.74442	342.85358	0.7375437	7441.760335683823
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	31	0.0	0.0	197.94118	200.0	309999	367.4731	367.4717	-4.335395	-371.39194	335.52393	0.7386917	7695.7465052604675
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	32	0.0	0.0	202.30612	200.0	319999	368.80295	368.80283	-4.351837	-372.73575	321.77182	0.7391762	7948.816343784332
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	33	0.0	0.0	199.52	200.0	329999	369.07443	369.07367	-4.3522687	-373.0271	320.2462	0.7387844	8201.22729754448
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	34	0.0	0.0	185.25926	200.0	339999	369.55383	369.55307	-4.3776903	-373.46658	310.22476	0.7407114	8454.13107085228
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	35	0.0	0.0	200.98	200.0	349999	369.72992	369.72876	-4.38537	-373.64932	312.03534	0.7403006	8705.969649076462
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	36	0.0	0.0	192.92308	200.0	359999	371.27246	371.26923	-4.3971763	-375.23804	301.2846	0.7381958	8956.825924634933
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	37	0.0	0.0	191.5	200.0	369999	372.68945	372.68747	-4.4162	-376.58685	309.5544	0.74001926	9209.33543086052
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	38	0.0	0.0	189.86792	200.0	379999	372.2964	372.29535	-4.41367	-376.22534	302.29272	0.7398699	9460.40460395813
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	39	0.0	0.0	214.45653	200.0	389999	372.3034	372.3017	-4.4239316	-376.22476	298.4096	0.74043894	9712.234289646149
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	40	0.0	0.0	202.16	200.0	399999	372.8018	372.7998	-4.435029	-376.73038	293.77646	0.74052	9963.633070230484
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	41	0.0	0.0	194.50981	200.0	409999	374.08752	374.08594	-4.4324055	-378.0175	298.392	0.74032533	10213.559801578522
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	42	0.0	0.0	195.13725	200.0	419999	376.00598	376.00507	-4.4378157	-379.955	296.40494	0.7413045	10465.907848834991
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	43	0.0	0.0	209.54167	200.0	429999	377.46393	377.46268	-4.440856	-381.4219	283.08044	0.741054	10715.826800584793
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	44	0.0	0.0	188.81133	200.0	439999	378.57315	378.5724	-4.4581614	-382.52997	282.81747	0.7423825	10968.631177186966
en_ran_init_ant_1f_a2_200_25_400_mop_r0_a1_1	45	0.0	0.0	199.4	200.0	449999	380.00198	379.99988	-4.457971	-383.9586	286.44714	0.7437781	11219.001460552216
